Id_Classificacao,Id_Piloto,Ano_Jogo,Temporada,Pos_Prova1,Pos_Prova2,Pos_Prova3,Pos_Prova4,Pos_Prova5,Pos_Prova6,Pos_Prova7,Pos_Prova8,Pos_Prova9,Pos_Prova10,Pos_Prova11,Pos_Prova12,Pos_Prova13,Pos_Prova14,Pos_Prova15,Pos_Prova16,Pos_Prova17,Pos_Prova18,Pos_Prova19,Pos_Prova20,Total_Pontos,Pos_Prova21,Pos_Prova22,Pos_Prova23,Pos_Prova24,Pos_Prova25,Tipo_Carreira
1150,217,2025,2,4,9,3,8,2,4,3,3,7,4,0,1,1,1,2,2,,,,,,,,,,,"Piloto"
1151,218,2025,2,3,0,11,10,7,8,4,9,4,6,3,16,6,6,1,6,,,,,,,,,,,"Piloto"
1152,223,2025,2,1,1,1,1,1,1,1,2,1,3,0,4,2,0,4,1,,,,,,,,,,,"Piloto"
1153,224,2025,2,2,5,5,2,3,2,0,6,2,1,2,2,3,4,3,3,,,,,,,,,,,"Piloto"
1154,232,2025,2,10,13,8,7,9,0,7,12,10,12,13,7,4,12,8,8,,,,,,,,,,,"Piloto"
1155,225,2025,2,9,11,9,5,12,9,14,13,8,8,11,3,11,10,9,9,,,,,,,,,,,"Piloto"
1156,219,2025,2,5,7,2,4,6,6,5,4,3,7,1,10,0,2,11,5,,,,,,,,,,,"Piloto"
456,61,2019,9,10,10,13,8,8,7,0,11,11,10,7,16,10,11,17,12,10,12,0,14,,12,,,,,"Piloto"
1157,220,2025,2,16,8,6,0,15,10,12,8,12,9,4,11,10,11,13,13,,,,,,,,,,,"Piloto"
1158,215,2025,2,0,3,4,3,5,3,2,1,6,0,5,0,5,3,5,0,,,,,,,,,,,"Piloto"
1159,228,2025,2,13,6,10,9,11,11,10,11,16,13,12,9,18,13,16,12,,,,,,,,,,,"Piloto"
1160,226,2025,2,12,15,12,18,14,13,13,15,17,0,8,8,14,17,14,16,,,,,,,,,,,"Piloto"
1161,235,2025,2,7,2,16,19,8,0,8,0,19,2,0,13,9,14,0,0,,,,,,,,,,,"Piloto"
1162,234,2025,2,8,4,7,6,4,7,6,5,0,11,9,12,8,7,12,7,,,,,,,,,,,"Piloto"
1163,233,2025,2,11,12,13,11,16,5,18,7,5,10,6,6,12,5,7,4,,,,,,,,,,,"Piloto"
1164,221,2025,2,6,14,17,13,10,12,9,17,9,15,14,0,0,8,15,14,,,,,,,,,,,"Piloto"
1165,222,2025,2,14,16,0,12,17,17,16,0,15,17,17,17,13,18,17,15,,,,,,,,,,,"Piloto"
1166,229,2025,2,0,10,15,14,13,14,11,10,11,5,10,5,7,9,6,10,,,,,,,,,,,"Piloto"
1167,230,2025,2,15,18,18,15,19,15,0,14,13,16,7,14,15,15,10,11,,,,,,,,,,,"Piloto"
1168,231,2025,2,17,0,0,17,18,16,15,16,14,14,15,15,17,16,18,18,,,,,,,,,,,"Piloto"
1169,236,2025,2,18,17,14,16,20,18,17,0,18,0,16,18,16,19,19,17,,,,,,,,,,,"Piloto"
1170,223,2025,3,4,2,3,1,3,1,5,2,1,2,0,1,3,2,3,4,,,,,,,,,,,"Piloto"
1171,224,2025,3,2,6,0,3,5,2,2,4,2,0,0,6,2,10,4,8,,,,,,,,,,,"Piloto"
1172,217,2025,3,6,1,1,9,2,3,0,3,3,3,1,0,8,3,1,1,,,,,,,,,,,"Piloto"
1173,235,2025,3,1,3,4,4,1,4,1,1,5,1,5,3,1,1,2,2,,,,,,,,,,,"Piloto"
1174,219,2025,3,5,7,12,5,0,8,12,7,6,9,2,7,5,5,9,5,,,,,,,,,,,"Piloto"
1175,220,2025,3,10,0,9,11,11,17,13,5,0,0,7,14,7,13,0,7,,,,,,,,,,,"Piloto"
1176,215,2025,3,3,4,5,6,4,10,0,0,7,4,12,2,4,4,5,3,,,,,,,,,,,"Piloto"
1177,216,2025,3,0,10,16,7,9,6,3,11,10,5,0,5,6,14,6,6,,,,,,,,,,,"Piloto"
1178,234,2025,3,11,5,11,2,7,7,4,15,8,10,11,12,13,7,13,9,,,,,,,,,,,"Piloto"
1179,233,2025,3,12,8,10,8,6,5,6,6,4,12,14,4,9,6,11,14,,,,,,,,,,,"Piloto"
1180,232,2025,3,8,19,7,16,14,16,9,13,15,14,10,18,15,19,18,0,,,,,,,,,,,"Piloto"
1181,225,2025,3,7,12,6,14,15,12,18,10,16,18,0,11,12,16,16,19,,,,,,,,,,,"Piloto"
