Id_Volta,Id_Piloto,Ano_jogo,Temporada,Prova1,Prova2,Prova3,Prova4,Prova5,Prova6,Prova7,Prova8,Prova9,Prova10,Prova11,Prova12,Prova13,Prova14,Prova15,Prova16,Prova17,Prova18,Prova19,Prova20,Prova21,Prova23,Prova24,Prova25,Prova22,Tipo_Carreira
38,,2023,3,159,176,159,162,156,177,154,176,176,158,176,156,162,158,176,162,,,,,,,,,,"Piloto"
39,,2023,4,176,154,167,176,178,168,176,176,176,167,157,163,178,176,176,155,,,,,,,,,,"Piloto"
40,,2023,5,176,167,173,155,167,176,176,176,176,157,176,176,177,157,177,178,,,,,,,,,,"Piloto"
41,,2023,6,156,156,154,176,176,178,162,156,178,162,178,154,156,167,176,176,,,,,,,,,,"Piloto"
42,,2023,7,182,176,178,182,180,176,162,182,176,159,176,176,163,159,178,172,,,,,,,,,,"Piloto"
22,,2018,8,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
43,,2023,8,178,163,171,181,162,176,178,156,156,,,,,,,,,,,,,,,,,"Piloto"
44,,2024,1,186,194,186,194,206,186,186,186,187,186,188,188,194,188,188,194,,,,,,,,,,"Piloto"
45,,2024,2,195,195,206,188,188,194,190,206,194,204,188,195,198,198,206,206,,,,,,,,,,"Piloto"
46,,2024,3,198,198,206,206,206,206,198,186,206,198,198,206,186,195,195,206,,,,,,,,,,"Piloto"
47,,2024,4,206,206,187,206,206,192,187,191,206,206,206,206,206,194,206,206,,,,,,,,,,"Piloto"
48,,2024,5,195,195,206,206,206,206,186,206,206,206,206,191,186,192,206,190,,,,,,,,,,"Piloto"
49,,2024,6,191,206,186,206,206,206,202,206,191,191,191,199,206,186,206,210,,,,,,,,,,"Piloto"
50,,2024,7,206,206,204,206,206,206,204,206,206,209,206,206,206,206,206,206,,,,,,,,,,"Piloto"
51,,2024,8,193,204,204,189,206,189,189,204,204,209,206,204,189,189,204,204,,,,,,,,,,"Piloto"
52,,2024,9,202,202,204,206,206,206,202,206,204,188,202,206,,,,,,,,,,,,,,"Piloto"
53,,2025,1,223,215,221,224,223,223,215,217,224,223,215,220,218,218,219,220,,,,,,,,,,"Piloto"
54,,2025,2,218,215,217,223,223,223,217,215,223,235,215,223,224,225,223,217,,,,,,,,,,"Piloto"
55,,2025,3,235,235,217,223,235,234,235,215,223,223,217,224,224,223,223,223,,,,,,,,,,"Piloto"
56,,2025,4,224,215,223,223,235,215,235,235,223,235,219,217,215,223,220,223,,,,,,,,,,"Piloto"
57,,2025,5,217,235,217,235,235,235,235,235,223,223,235,217,224,217,217,235,,,,,,,,,,"Piloto"
58,,2025,6,217,235,235,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
21,,2018,7,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
20,,2018,6,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
19,,2018,5,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
18,,2018,4,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
17,,2018,3,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
16,,2017,5,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
15,,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
14,,2017,3,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
13,,2017,2,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
12,,2017,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
11,,2019,9,52,52,52,63,63,63,63,63,52,63,63,45,63,63,63,63,63,63,63,63,54,,,,,"Piloto"
10,,2019,8,52,65,63,57,63,46,63,63,63,63,53,50,63,52,53,63,63,48,63,64,58,,,,,"Piloto"
9,,2019,7,64,47,64,44,63,65,63,63,65,63,46,58,63,63,64,63,43,63,63,48,60,,,,,"Piloto"
8,,2019,6,63,65,64,65,46,46,63,63,64,65,46,63,63,63,57,63,63,50,63,63,60,,,,,"Piloto"
7,,2019,5,63,46,48,63,63,63,53,57,63,44,64,63,63,63,63,63,57,46,63,63,64,,,,,"Piloto"
6,,2019,4,63,43,52,43,63,63,65,63,46,63,63,63,48,63,63,63,48,50,63,44,48,,,,,"Piloto"
5,,2019,3,43,43,43,43,52,63,63,52,43,46,65,65,43,63,65,63,46,63,63,65,46,,,,,"Piloto"
4,,2019,2,43,44,44,43,43,63,43,44,43,63,65,46,63,51,65,58,58,52,52,63,51,,,,,"Piloto"
3,,2018,2,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
2,,2018,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Piloto"
1,,2019,1,45,46,43,46,43,46,45,45,44,43,45,43,44,43,47,45,47,47,43,43,47,,,,,"Piloto"
